days.since.hatching	length
6	0.011035011
6	0.011428622
6	0.010878816
6	0.012793881
6	0.014537601
6	0.014470582
6	0.011500687
6	0.018239815
6	0.010026773
6	0.016282683
6	0.018498898
6	0.011435922
6	0.010730161
5	0.01192502
5	0.014693401
5	0.011728242
5	0.01200316
5	0.011609734
5	0.011115876
5	0.01149379
5	0.011018275
5	0.011449643
5	0.011641449
4	0.013434122
4	0.009790656
4	0.010212043
4	0.010266975
4	0.00992938
4	0.009861175
4	0.008756792
4	0.010559133
4	0.008308208
4	0.009294717
5	0.008995184
5	0.009655868
5	0.011140761
5	0.008624747
5	0.01134571
5	0.012057077
5	0.00990682
5	0.011297796
5	0.01124965
5	0.011049566
5	0.008160662
5	0.011185197
5	0.008555123
5	0.012128469
5	0.009704052
5	0.0168245
5	0.012286706
5	0.012128745
5	0.013853055
5	0.014906767
5	0.01196139
5	0.011825336
5	0.011565261
5	0.012176368
5	0.012146117
5	0.015633196
6	0.008573449
6	0.016017431
6	0.015082401
6	0.018483994
6	0.008936615
6	0.014862754
6	0.014462201
7	0.014282424
7	0.014595417
7	0.013450661
7	0.01443618
7	0.01350388
7	0.014705861
7	0.014255546
7	0.014238657
7	0.014331665
7	0.009432081
7	0.014243453
7	0.014624313
7	0.013865366
7	0.015380189
7	0.015056164
7	0.014831366
6	0.011085593
6	0.013682779
6	0.012764761
6	0.014670358
6	0.014302527
6	0.026710244
6	0.012773182
6	0.020635657
6	0.013029029
6	0.01281497
6	0.014102186
5	0.013138943
5	0.013010248
5	0.016157395
5	0.012688491
5	0.012636055
5	0.011874245
5	0.008402711
5	0.014323502
6	0.022303234
6	0.016158684
6	0.015067588
6	0.016364676
6	0.013160973
6	0.014001418
6	0.015041478
6	0.01676441
6	0.013951594
6	0.013686451
6	0.012420902
6	0.009757175
6	0.0129801
6	0.014428583
6	0.014261247
6	0.014178935
6	0.01293429
6	0.015623504
6	0.017716827
6	0.018471516
6	0.015741889
6	0.01462355
6	0.011837902
6	0.018039928
6	0.015820737
6	0.015600186
7	0.010810273
7	0.014952581
7	0.017490725
7	0.01277618
7	0.011707943
7	0.014449187
8	0.012798081
8	0.01538426
8	0.013887299
8	0.015118144
8	0.017977409
8	0.015641251
8	0.014352851
8	0.014750812
8	0.016566596
8	0.016553785
8	0.014828528
8	0.017470311
8	0.015625902
8	0.015543665
8	0.017179782
8	0.017229833
7	0.014250908
7	0.015031598
7	0.013587147
7	0.014684297
7	0.015584731
7	0.017037558
7	0.013484144
7	0.013905113
6	0.015330108
6	0.013902801
6	0.010971611
6	0.01300555
6	0.0148791
6	0.015483284
6	0.01513557
6	0.013401833
7	0.014606575
7	0.012902513
7	0.012468639
7	0.014717375
7	0.017124355
7	0.012444523
8	0.015143354
8	0.016224419
8	0.010501903
8	0.010998671
8	0.016264442
8	0.016270228
8	0.016271066
8	0.014729785
8	0.016690755
8	0.016301012
8	0.015682872
8	0.016620474
8	0.014477473
8	0.015942437
8	0.015828047
9	0.017880814
9	0.018191047
9	0.017069811
9	0.018041808
9	0.018104704
9	0.016083651
9	0.026267419
10	0.016098582
10	0.016887677
10	0.016992271
10	0.015411275
10	0.016515302
10	0.017417428
10	0.015885445
10	0.01678648
10	0.015488732
10	0.018655554
10	0.016467587
10	0.018488337
10	0.028695006
10	0.019441958
10	0.019968177
9	0.016533744
9	0.014497754
9	0.017018719
9	0.016805789
9	0.015589072
9	0.017002286
8	0.017082998
8	0.015717536
8	0.01505421
8	0.016406675
8	0.016929929
8	0.015916133
8	0.014516955
8	0.015123481
8	0.015244759
9	0.019267033
9	0.019659527
9	0.017371412
9	0.016196807
9	0.017461917
9	0.017711357
9	0.018230345
9	0.016846703
9	0.01767005
9	0.016590576
9	0.017277588
9	0.016938768
9	0.017316727
9	0.022972761
9	0.015282075
9	0.018096275
9	0.016612069
9	0.017348482
9	0.018224218
9	0.016596027
10	0.019056889
10	0.019777797
10	0.019239174
10	0.020126926
10	0.020990962
10	0.018907171
11	0.017506373
11	0.019708025
11	0.01659413
11	0.019548757
11	0.018929645
11	0.019517586
11	0.019626287
11	0.017390175
11	0.016683255
11	0.015889698
11	0.017650367
11	0.017623911
11	0.017548037
11	0.015225122
11	0.018763329
11	0.02427919
11	0.018754564
11	0.01777484
11	0.027090521
11	0.017019577
11	0.009258073
11	0.015172394
11	0.016287386
9	0.016151744
9	0.018483116
9	0.018845966
9	0.01820842
9	0.018178861
9	0.017137898
10	0.020909487
10	0.017559429
10	0.020040137
10	0.019679257
10	0.019464007
10	0.019564653
10	0.01984235
10	0.018206253
10	0.018039573
10	0.018122718
10	0.017563667
10	0.021999446
10	0.014688755
10	0.017280445
10	0.016503277
10	0.019088813
10	0.017807924
10	0.018173643
10	0.016615234
11	0.024552068
11	0.018063649
11	0.023779361
11	0.023911165
11	0.024869822
12	0.016903237
12	0.018819984
12	0.018486838
12	0.017797197
12	0.022193258
12	0.020637795
12	0.01732415
12	0.021788005
12	0.022961909
12	0.022557462
12	0.019369882
12	0.021634431
12	0.018891304
11	0.015749968
11	0.017381992
11	0.019105404
11	0.018198781
11	0.017117934
11	0.016174063
11	0.016737121
10	0.017482302
10	0.016278554
10	0.016431573
10	0.01799516
10	0.017602335
10	0.016425807
11	0.018931654
11	0.018661834
11	0.018529072
11	0.018986306
11	0.020094753
